Analyst,FileName,Date,RecordingLocation,plot,location,PrimateSpecies,CallOnset,CallDuration,CallCompletion,CallDistance,Rain,MicUsed,UndergradComments,SilvyComments,newdate,year,StartTime,TimeDiff,CallEnd,CallingAtStart,CallingAtEnd,path,date,meanRMS_0_2kHz,meanRMS_0_8kHz,meanRMS_2_8kHz,LunarPhase,today_average,lastnight_average,lastnight_min,dt,roundDateTime,Celsius,Humidity,Titis,Howlers,CallDurationInSec,Year
Silvy van Kuijk,HARPIA_20130223_054500.wav,2/23/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 05:47:43,NA,NA,NA,Dry,1,NA,NA,2/23/2013,2013,0000-01-01 05:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/23 feb 2013",23-Feb-13,81.67561772,103.2231303,103.1926209,Full,22.95833333,22.41666667,22,2/23/2013,2/23/2013,22,100,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130223_060000.wav,2/23/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 06:01:39,NA,NA,NA,Drizzle,1,NA,NA,2/23/2013,2013,0000-01-01 06:00:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/23 feb 2013",23-Feb-13,80.39002994,94.99594149,94.84304744,Full,22.95833333,22.41666667,22,2/23/2013,2/23/2013,22,100,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130223_061500.wav,2/23/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 06:19:00,NA,NA,NA,Dry,1,NA,NA,2/23/2013,2013,0000-01-01 06:15:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/23 feb 2013",23-Feb-13,91.73250539,94.94216971,92.12350324,Full,22.95833333,22.41666667,22,2/23/2013,2/23/2013,22,100,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130223_063000.wav,2/23/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 06:36:45,NA,NA,NA,Dry,1,NA,NA,2/23/2013,2013,0000-01-01 06:30:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/23 feb 2013",23-Feb-13,80.3235503,92.9929081,92.75147702,Full,22.95833333,22.41666667,22,2/23/2013,2/23/2013,22,100,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130223_064500.wav,2/23/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 06:52:24,NA,NA,NA,Dry,1,NA,NA,2/23/2013,2013,0000-01-01 06:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/23 feb 2013",23-Feb-13,77.23957591,93.22271665,93.11199652,Full,22.95833333,22.41666667,22,2/23/2013,2/23/2013,22,100,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130223_070000.wav,2/23/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 07:03:17,NA,NA,NA,Rain,1,NA,NA,2/23/2013,2013,0000-01-01 07:00:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/23 feb 2013",23-Feb-13,89.30189258,98.43610776,97.87103893,Full,22.95833333,22.41666667,22,2/23/2013,2/23/2013,22,100,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130223_071500.wav,2/23/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 07:17:33,NA,NA,NA,Rain,1,NA,NA,2/23/2013,2013,0000-01-01 07:15:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/23 feb 2013",23-Feb-13,83.92310253,101.2616336,101.1807673,Full,22.95833333,22.41666667,22,2/23/2013,2/23/2013,22,100,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130223_073000.wav,2/23/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 07:33:03,NA,NA,NA,Rain,1,NA,NA,2/23/2013,2013,0000-01-01 07:30:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/23 feb 2013",23-Feb-13,91.8557812,100.0212835,99.30267483,Full,22.95833333,22.41666667,22,2/23/2013,2/23/2013,22,100,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130223_074500.wav,2/23/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 07:50:43,NA,NA,NA,Rain,1,NA,NA,2/23/2013,2013,0000-01-01 07:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/23 feb 2013",23-Feb-13,90.73089267,99.84882726,99.28148857,Full,22.95833333,22.41666667,22,2/23/2013,2/23/2013,22,100,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130223_080000.wav,2/23/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 08:01:24,NA,NA,NA,Rain,1,NA,NA,2/23/2013,2013,0000-01-01 08:00:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/23 feb 2013",23-Feb-13,86.64709064,99.87623067,99.66477592,Full,22.95833333,22.41666667,22,2/23/2013,2/23/2013,22,100,FALSE,FALSE,NA,2013
