"","X1","Analyst","FileName","Date","RecordingLocation","plot","location","PrimateSpecies","CallOnset","CallDuration","CallCompletion","CallDistance","MicUsed","Rain","UndergradComments","SilvyComments","newdate","year","StartTime","TimeDiff","CallEnd","CallingAtStart","CallingAtEnd","path","date","meanRMS_0_2kHz","meanRMS_0_8kHz","meanRMS_2_8kHz","LunarPhase","RainPreviousDay","today_average_temp","today_min_temp","lastnight_average_temp","lastnight_min_temp","dt","roundDateTime","Temperature","Humidity","Titis","Howlers","CallDurationInSec","Year"
"1",1,"Silvy van Kuijk","HARPIA_20130223_054500.wav",2013-02-23,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 05:48:25,NA,NA,NA,1,"Dry",NA,NA,2013-02-23,2013,0000-01-01 05:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/23 feb 2013","23 feb 2013",81.6756177248338,103.223130279121,103.192620872604,"Full",15.6,22.95833333,22,22.41666667,22,2013-02-23 05:45:00,2013-02-23 06:00:00,22,100,FALSE,FALSE,NA,"2013"
"2",2,"Silvy van Kuijk","HARPIA_20130223_060000.wav",2013-02-23,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 06:08:04,NA,NA,NA,1,"Drizzle",NA,NA,2013-02-23,2013,0000-01-01 06:00:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/23 feb 2013","23 feb 2013",80.3900299445925,94.9959414931227,94.8430474395983,"Full",15.6,22.95833333,22,22.41666667,22,2013-02-23 06:00:00,2013-02-23 06:00:00,22,100,FALSE,FALSE,NA,"2013"
"3",3,"Silvy van Kuijk","HARPIA_20130223_061500.wav",2013-02-23,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 06:22:34,NA,NA,NA,1,"Dry",NA,NA,2013-02-23,2013,0000-01-01 06:15:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/23 feb 2013","23 feb 2013",91.7325053859019,94.9421697116572,92.1235032421258,"Full",15.6,22.95833333,22,22.41666667,22,2013-02-23 06:15:00,2013-02-23 06:00:00,22,100,FALSE,FALSE,NA,"2013"
"4",4,"Silvy van Kuijk","HARPIA_20130223_063000.wav",2013-02-23,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 06:37:19,NA,NA,NA,1,"Dry",NA,NA,2013-02-23,2013,0000-01-01 06:30:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/23 feb 2013","23 feb 2013",80.3235502959848,92.9929080952026,92.7514770161528,"Full",15.6,22.95833333,22,22.41666667,22,2013-02-23 06:30:00,2013-02-23 07:00:00,22,100,FALSE,FALSE,NA,"2013"
"5",5,"Silvy van Kuijk","HARPIA_20130223_064500.wav",2013-02-23,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 06:47:24,NA,NA,NA,1,"Dry",NA,NA,2013-02-23,2013,0000-01-01 06:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/23 feb 2013","23 feb 2013",77.2395759061948,93.2227166474729,93.1119965231041,"Full",15.6,22.95833333,22,22.41666667,22,2013-02-23 06:45:00,2013-02-23 07:00:00,22,100,FALSE,FALSE,NA,"2013"
"6",6,"Silvy van Kuijk","HARPIA_20130223_070000.wav",2013-02-23,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 07:04:53,NA,NA,NA,1,"Rain",NA,NA,2013-02-23,2013,0000-01-01 07:00:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/23 feb 2013","23 feb 2013",89.3018925754411,98.4361077600804,97.8710389253977,"Full",15.6,22.95833333,22,22.41666667,22,2013-02-23 07:00:00,2013-02-23 07:00:00,22,100,FALSE,FALSE,NA,"2013"
"7",7,"Silvy van Kuijk","HARPIA_20130223_071500.wav",2013-02-23,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 07:18:14,NA,NA,NA,1,"Rain",NA,NA,2013-02-23,2013,0000-01-01 07:15:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/23 feb 2013","23 feb 2013",83.9231025280713,101.261633635235,101.180767299599,"Full",15.6,22.95833333,22,22.41666667,22,2013-02-23 07:15:00,2013-02-23 07:00:00,22,100,FALSE,FALSE,NA,"2013"
"8",8,"Silvy van Kuijk","HARPIA_20130223_073000.wav",2013-02-23,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 07:32:55,NA,NA,NA,1,"Rain",NA,NA,2013-02-23,2013,0000-01-01 07:30:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/23 feb 2013","23 feb 2013",91.8557811988962,100.021283537608,99.3026748262029,"Full",15.6,22.95833333,22,22.41666667,22,2013-02-23 07:30:00,2013-02-23 08:00:00,22,100,FALSE,FALSE,NA,"2013"
"9",9,"Silvy van Kuijk","HARPIA_20130223_074500.wav",2013-02-23,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 07:51:23,NA,NA,NA,1,"Rain",NA,NA,2013-02-23,2013,0000-01-01 07:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/23 feb 2013","23 feb 2013",90.7308926673846,99.8488272559303,99.2814885651947,"Full",15.6,22.95833333,22,22.41666667,22,2013-02-23 07:45:00,2013-02-23 08:00:00,22,100,FALSE,FALSE,NA,"2013"
"10",10,"Silvy van Kuijk","HARPIA_20130223_080000.wav",2013-02-23,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 08:07:58,NA,NA,NA,1,"Rain",NA,NA,2013-02-23,2013,0000-01-01 08:00:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/23 feb 2013","23 feb 2013",86.6470906386792,99.8762306695756,99.6647759210364,"Full",15.6,22.95833333,22,22.41666667,22,2013-02-23 08:00:00,2013-02-23 08:00:00,22,100,FALSE,FALSE,NA,"2013"
