Date,LunarPhase
2/8/2013,New
2/9/2013,New
2/10/2013,New
2/11/2013,New
2/12/2013,New
2/13/2013,New
2/14/2013,Waxing
2/15/2013,Waxing
2/16/2013,Waxing
2/17/2013,Waxing
2/18/2013,Waxing
2/19/2013,Waxing
2/20/2013,Waxing
2/21/2013,Waxing
2/22/2013,Full
2/23/2013,Full
2/24/2013,Full
2/25/2013,Full
2/26/2013,Full
2/27/2013,Full
2/4/2014,Waxing
2/5/2014,Waxing
2/6/2014,Waxing
2/7/2014,Waxing
2/8/2014,Waxing
2/9/2014,Waxing
2/10/2014,Waxing
2/11/2014,Full
2/12/2014,Full
2/13/2014,Full
2/14/2014,Full
2/15/2014,Full
2/16/2014,Full
2/17/2014,Full
2/18/2014,Waning
2/7/2015,Full
2/8/2015,Waning
2/9/2015,Waning
2/10/2015,Waning
2/11/2015,Waning
2/12/2015,Waning
2/13/2015,Waning
2/14/2015,Waning
2/15/2015,New
2/16/2015,New
2/17/2015,New
2/18/2015,New
2/19/2015,New
2/21/2015,New
2/22/2015,New
1/26/2016,Full
1/27/2016,Full
1/28/2016,Waning
1/29/2016,Waning
1/30/2016,Waning
1/31/2016,Waning
2/1/2016,Waning
2/2/2016,Waning
2/3/2016,Waning
2/4/2016,New
2/7/2016,New
2/10/2016,New
2/12/2017,Full
2/13/2017,Full
2/14/2017,Full
2/15/2017,Waning
2/16/2017,Waning
2/17/2017,Waning
2/18/2017,Waning
2/19/2017,Waning
2/20/2017,Waning
2/21/2017,Waning
2/22/2017,New
2/23/2017,New
2/24/2017,New
2/25/2017,New
2/26/2017,New
