Date,LunarPhase,RainfallPreviousDay
2/8/2013,,0
2/9/2013,,0
2/10/2013,,71.4
2/11/2013,,48.8
2/12/2013,,1
2/13/2013,,0
2/14/2013,,1.4
2/15/2013,,0
2/16/2013,,7.2
2/17/2013,,15.8
2/18/2013,,1.6
2/19/2013,,7.2
2/20/2013,,14
2/21/2013,,
2/22/2013,,59.6
2/23/2013,,15.6
2/24/2013,,5
2/25/2013,,2.8
2/26/2013,,10.2
2/27/2013,,36.8
2/28/2013,,11
3/1/2013,,22.2
3/2/2013,,17.8
3/3/2013,,19.6
3/4/2013,,2.2
3/5/2013,,4.8
2/3/2014,,0.8
2/4/2014,,9.1
2/5/2014,,0.4
2/6/2014,,0
2/7/2014,,8.8
2/8/2014,,8.5
2/9/2014,,7.6
2/10/2014,,6
2/11/2014,,42.3
2/12/2014,,49.2
2/13/2014,,
2/14/2014,,23
2/15/2014,,2
2/16/2014,,7.2
2/17/2014,,0.8
2/18/2014,,6
2/7/2015,,0
2/8/2015,,0
2/9/2015,,0
2/10/2015,,10.4
2/11/2015,,0.4
2/12/2015,,47.6
2/13/2015,,2.6
2/14/2015,,0.2
2/15/2015,,17.4
2/16/2015,,5.6
2/17/2015,,1
2/18/2015,,1.4
2/19/2015,,0
2/21/2015,,0
2/22/2015,,0
1/26/2016,,0
1/27/2016,,0
1/28/2016,,0
1/29/2016,,0
1/30/2016,,0
1/31/2016,,0
2/1/2016,,0
2/2/2016,,0
2/3/2016,,12.5
2/4/2016,,0
2/7/2016,,0
2/9/2016,,10.4
2/10/2016,,0
2/11/2016,,74
2/12/2016,,0
2/13/2016,,6
2/14/2016,,0.2
2/15/2016,,15.6
2/22/2016,,22
2/23/2016,,0
2/24/2016,,0.2
2/25/2016,,24.2
2/12/2017,,74
2/13/2017,,0
2/14/2017,,0
2/15/2017,,4
2/16/2017,,0
2/17/2017,,0.6
2/18/2017,,0.2
2/19/2017,,5.6
2/20/2017,,0.4
2/21/2017,,6
2/22/2017,,0
2/23/2017,,20.8
2/24/2017,,0.2
2/25/2017,,0.8
2/26/2017,,10.6
