Analyst,FileName,Date,RecordingLocation,PrimateSpecies,CallOnset,CallDuration,CallCompletion,CallDistance,MicUsed,Rain,UndergradComments,SilvyComments
Silvy van Kuijk,HARPIA_20130223_054500,2/23/2013,"Harpia, 1, -50",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130223_060000,2/23/2013,"Harpia, 1, -50",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130223_061500,2/23/2013,"Harpia, 1, -50",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130223_063000,2/23/2013,"Harpia, 1, -50",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130223_064500,2/23/2013,"Harpia, 1, -50",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130223_070000,2/23/2013,"Harpia, 1, -50",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130223_071500,2/23/2013,"Harpia, 1, -50",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130223_073000,2/23/2013,"Harpia, 1, -50",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130223_074500,2/23/2013,"Harpia, 1, -50",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130223_080000,2/23/2013,"Harpia, 1, -50",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130224_054500,2/24/2013,"Harpia, 1, -50",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130224_060000,2/24/2013,"Harpia, 1, -50",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130224_061500,2/24/2013,"Harpia, 1, -50",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130224_063000,2/24/2013,"Harpia, 1, -50",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130224_064500,2/24/2013,"Harpia, 1, -50",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130224_070000,2/24/2013,"Harpia, 1, -50",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130224_071500,2/24/2013,"Harpia, 1, -50",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130224_073000,2/24/2013,"Harpia, 1, -50",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130224_074500,2/24/2013,"Harpia, 1, -50",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130224_080000,2/24/2013,"Harpia, 1, -50",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130225_054500,2/25/2013,"Harpia, 1, -50",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130225_060000,2/25/2013,"Harpia, 1, -50",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130225_061500,2/25/2013,"Harpia, 1, -50",Howler ,6:15:00,0:10:00,"Start, End",3,1,Dry,,"Howlers sang shortly before rain (5 minute window). Complete capuchin call at 06:15:45, lasts 2 seconds, distance score 3."
Silvy van Kuijk,HARPIA_20130225_063000,2/25/2013,"Harpia, 1, -50",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130225_064500,2/25/2013,"Harpia, 1, -50",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130225_070000,2/25/2013,"Harpia, 1, -50",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130225_071500,2/25/2013,"Harpia, 1, -50",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130225_073000,2/25/2013,"Harpia, 1, -50",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130225_074500,2/25/2013,"Harpia, 1, -50",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130225_080000,2/25/2013,"Harpia, 1, -50",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130226_054500,2/26/2013,"Harpia, 1, -50",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130226_060000,2/26/2013,"Harpia, 1, -50",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130226_061500,2/26/2013,"Harpia, 1, -50",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130226_063000,2/26/2013,"Harpia, 1, -50",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130226_064500,2/26/2013,"Harpia, 1, -50",None,,,,,1,Drizzle,,
