Analyst,FileName,StartTime,Date,RecordingLocation,PrimateSpecies,CallOnset,CallDuration,CallCompletion,CallDistance,Rain,UndergradComments,SilvysComments,LunarPhase,TodayAverageTemp,LastnightAverageTemp,LastnightMinTemp,TempAtHour,HumidityAtHour
Silvy van Kuijk,HARPIA_20130223_054500,54500,2/23/2013,"Harpia, 1, -50",None,,,,NA,Dry,,,Full,22.95833333,22.41666667,22,23.5,100
Silvy van Kuijk,HARPIA_20130223_060000,60000,2/23/2013,"Harpia, 1, -50",None,,,,NA,Drizzle,,,Full,22.95833333,22.41666667,22,29,88.5
Silvy van Kuijk,HARPIA_20130223_061500,61500,2/23/2013,"Harpia, 1, -50",None,,,,NA,Dry,,,Full,22.95833333,22.41666667,22,30.5,82
Silvy van Kuijk,HARPIA_20130223_063000,63000,2/23/2013,"Harpia, 1, -50",None,,,,NA,Dry,,,Full,22.95833333,22.41666667,22,31.5,80.5
Silvy van Kuijk,HARPIA_20130223_064500,64500,2/23/2013,"Harpia, 1, -50",None,,,,NA,Dry,,,Full,22.95833333,22.41666667,22,27,92.5
Silvy van Kuijk,HARPIA_20130223_070000,70000,2/23/2013,"Harpia, 1, -50",None,,,,NA,Rain,,,Full,22.95833333,22.41666667,22,24.5,98.5
Silvy van Kuijk,HARPIA_20130223_071500,71500,2/23/2013,"Harpia, 1, -50",None,,,,NA,Rain,,,Full,22.95833333,22.41666667,22,24.5,99
Silvy van Kuijk,HARPIA_20130223_073000,73000,2/23/2013,"Harpia, 1, -50",None,,,,NA,Rain,,,Full,22.95833333,22.41666667,22,24,99.5
Silvy van Kuijk,HARPIA_20130223_074500,74500,2/23/2013,"Harpia, 1, -50",None,,,,NA,Rain,,,Full,22.95833333,22.41666667,22,24,99.5
Silvy van Kuijk,HARPIA_20130223_080000,80000,2/23/2013,"Harpia, 1, -50",None,,,,NA,Rain,,,Full,22.95833333,22.41666667,22,23.5,100
Silvy van Kuijk,HARPIA_20130223_081500,81500,2/23/2013,"Harpia, 1, -50",None,,,,NA,Rain,,,Full,22.95833333,22.41666667,22,25.5,100
