today,today_average_temp,today_min_temp,n.x,lastnight_average_temp,lastnight_min_temp,n.y
02/06/13,24.33333333,Temperature,24,NA,NA,NA
02/07/13,25.625,Temperature,24,22.75,22,12
02/08/13,26.75,Temperature,24,25.04166667,23.5,12
02/09/13,24.45833333,Temperature,24,25.45833333,22.5,12
02/10/13,23.89583333,Temperature,24,24.45833333,23.5,12
02/11/13,24.89583333,Temperature,24,23,22.5,12
02/12/13,24.72916667,Temperature,24,23.95833333,23,12
02/13/13,24.45833333,Temperature,24,23.79166667,23,12
02/14/13,25.16666667,Temperature,24,23.5,22.5,12
02/15/13,24.4375,Temperature,24,24.375,23.5,12
02/16/13,22.9375,Temperature,24,22.95833333,22,12
02/17/13,23.75,Temperature,24,22.5,22,12
02/18/13,24.33333333,Temperature,24,23,22.5,12
02/19/13,23.58333333,Temperature,24,23.54166667,22.5,12
02/20/13,22.70833333,Temperature,24,23.33333333,22,12
02/21/13,23.39583333,Temperature,24,22.45833333,22,12
02/22/13,22.95833333,Temperature,24,22.95833333,22.5,12
02/23/13,22.95833333,Temperature,24,22.41666667,22,12
02/24/13,24.39583333,Temperature,24,22.75,22,12
02/25/13,25.70833333,Temperature,24,24.29166667,23.5,12
02/26/13,24.89583333,Temperature,24,24.54166667,23.5,12
02/27/13,24.16666667,Temperature,24,23.25,22.5,12
02/28/13,25.02083333,Temperature,24,23.91666667,23,12
03/01/13,24.54166667,Temperature,24,24.41666667,23,12
03/02/13,24.70833333,Temperature,24,24.29166667,23.5,12
03/03/13,24.41666667,Temperature,24,23.58333333,23,12
03/04/13,24.27083333,Temperature,24,23.54166667,23,12
03/05/13,24.5,Temperature,24,23.75,22.5,12
02/03/14,24.9375,Temperature,24,NA,NA,NA
02/04/14,25.10416667,Temperature,24,23.16666667,22,12
02/05/14,24.54166667,Temperature,24,24.54166667,23.5,12
02/06/14,23.5625,Temperature,24,24.20833333,23.5,12
02/07/14,24.25,Temperature,24,22.95833333,22.5,12
02/08/14,24.16666667,Temperature,24,23.375,22.5,12
02/09/14,24.5,Temperature,24,23.91666667,23,12
02/10/14,23.97916667,Temperature,24,24.125,23,12
02/11/14,23.20833333,Temperature,24,23.45833333,23,12
02/12/14,23.39583333,Temperature,24,22.04166667,21.5,12
02/13/14,23.04166667,Temperature,24,23.5,22.5,12
02/14/14,24.89583333,Temperature,24,22.66666667,22,12
02/15/14,24.72916667,Temperature,24,25.5,24,12
02/16/14,24.70833333,Temperature,24,23,22,12
02/17/14,24.91666667,Temperature,24,23.66666667,22.5,12
02/18/14,25.95833333,Temperature,24,24.125,23,12
02/19/14,25.89583333,Temperature,24,25.79166667,24,12
02/06/15,24.54166667,Temperature,24,NA,NA,NA
02/07/15,25.95833333,Temperature,24,23.875,23,12
02/08/15,26.47916667,Temperature,24,24.70833333,23,12
02/09/15,25.35416667,Temperature,24,25.16666667,23.5,12
02/10/15,24.29166667,Temperature,24,24.33333333,23,12
02/11/15,23.29166667,Temperature,24,23.79166667,23,12
02/12/15,23.77083333,Temperature,24,23.33333333,23,12
02/13/15,24.10416667,Temperature,24,23.29166667,22.5,12
02/14/15,23.41666667,Temperature,24,23.83333333,23,12
02/15/15,22.91666667,Temperature,24,22.45833333,22,12
02/16/15,24.375,Temperature,24,23.16666667,22.5,12
02/17/15,25.6875,Temperature,24,24.16666667,23,12
02/18/15,26.72916667,Temperature,24,25.45833333,24,12
02/19/15,26.75,Temperature,24,24.95833333,23,12
02/20/15,27.27083333,Temperature,24,26.54166667,25,12
02/21/15,26.97916667,Temperature,24,26.25,24.5,12
02/22/15,26.27083333,Temperature,24,25.75,24.5,12
02/23/15,25.20833333,Temperature,24,24.95833333,23.5,12
01/25/16,27.52083333,Temperature,24,NA,NA,NA
01/26/16,28.75,Temperature,24,27,25,12
01/27/16,28.14583333,Temperature,24,26.95833333,24.5,12
01/28/16,27.70833333,Temperature,24,26.33333333,23.5,12
01/29/16,27.89583333,Temperature,24,26.91666667,25,12
01/30/16,28.10416667,Temperature,24,26.875,24.5,12
01/31/16,28.6875,Temperature,24,27.45833333,26,12
02/01/16,28.375,Temperature,24,26.91666667,24.5,12
02/02/16,25.16666667,Temperature,24,26.54166667,24,12
02/03/16,25.27083333,Temperature,24,24.41666667,23.5,12
02/04/16,26.9375,Temperature,24,25.25,24,12
02/05/16,24.97916667,Temperature,24,26.25,24.5,12
02/06/16,24.45833333,Temperature,24,24.66666667,24,12
02/07/16,25.77083333,Temperature,24,24.625,24,12
02/08/16,24.0625,Temperature,24,24.75,24,12
02/09/16,24.45833333,Temperature,24,24.08333333,23.5,12
02/10/16,25.0625,Temperature,24,24.125,23,12
02/11/16,24.47916667,Temperature,24,24.66666667,23,12
02/12/16,24.29166667,Temperature,24,24.16666667,23.5,12
02/13/16,24.58333333,Temperature,24,23.58333333,23,12
02/14/16,25.1875,Temperature,24,24.70833333,24,12
02/15/16,24.72916667,Temperature,24,23.875,23,12
02/16/16,25.16666667,Temperature,24,24.5,23.5,12
02/17/16,23.95833333,Temperature,24,25.125,23.5,12
02/18/16,25.10416667,Temperature,24,23.75,23.5,12
02/19/16,24.8125,Temperature,24,24.20833333,22.5,12
02/20/16,25.47916667,Temperature,24,24.20833333,23,12
02/21/16,25.54166667,Temperature,24,25.66666667,24.5,12
02/22/16,25.625,Temperature,24,24.66666667,23.5,12
02/23/16,25.58333333,Temperature,24,25.75,25,12
02/24/16,24.45833333,Temperature,24,24.29166667,24,12
02/25/16,25.33333333,Temperature,24,24.25,23.5,12
02/11/17,26.91666667,Temperature,24,NA,NA,NA
02/12/17,27.35416667,Temperature,24,25.91666667,24.5,12
02/13/17,27.35416667,Temperature,24,26.16666667,23.5,12
02/14/17,24.95833333,Temperature,24,26,23,12
02/15/17,24.64583333,Temperature,24,24.5,23.5,12
02/16/17,24.41666667,Temperature,24,23.54166667,22.5,12
02/17/17,25.47916667,Temperature,24,24,23,12
02/18/17,24.95833333,Temperature,24,23.95833333,22,12
02/19/17,26.20833333,Temperature,24,24.79166667,23,12
02/20/17,26.3125,Temperature,24,25.375,23.5,12
02/21/17,26.41666667,Temperature,24,25.625,24,12
02/22/17,23.35416667,Temperature,24,26.04166667,23.5,12
02/23/17,24.35416667,Temperature,24,22.29166667,22,12
02/24/17,24.25,Temperature,24,23.875,22,12
02/25/17,23.97916667,Temperature,24,23.54166667,23,12
02/26/17,22.72916667,Temperature,24,23.29166667,22.5,12
02/27/17,22.64583333,Temperature,24,22.70833333,22,12
